segment,token,symbol,tradingsymbol,instrument_type,expiry,ticksize,lotsize,optiontype,strike,priceprec,multiplier,isin,pricemult,company
NSE,3220,LODHA,LODHA-EQ,EQ,1011980,5,1,EQ,0,2,1,INE670K01029,1.0,LODHA DEVELOPERS LIMITED
NSE,1997,LICHSGFIN,LICHSGFIN-EQ,EQ,1011980,5,1,EQ,0,2,1,INE115A01026,1.0,LIC HOUSING FINANCE LTD
NSE,760213,LGEINDIA,LGEINDIA-EQ,EQ,1011980,10,1,EQ,0,2,1,INE324D01010,1.0,LG ELECTRONICS INDIA LTD
NSE,759605,LENSKART,LENSKART-EQ,EQ,1011980,5,1,EQ,0,2,1,INE956O01016,1.0,LENSKART SOLUTIONS LTD
NSE,19234,LAURUSLABS,LAURUSLABS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE947Q01028,1.0,LAURUS LABS LIMITED
NSE,9683,KPITTECH,KPITTECH-EQ,EQ,1011980,5,1,EQ,0,2,1,INE04I401011,1.0,KPIT TECHNOLOGIES LIMITED
NSE,1922,KOTAKBANK,KOTAKBANK-EQ,EQ,1011980,5,1,EQ,0,2,1,INE237A01036,1.0,KOTAK MAHINDRA BANK LTD
NSE,13310,KEI,KEI-EQ,EQ,1011980,50,1,EQ,0,2,1,INE878B01027,1.0,KEI INDUSTRIES LTD.
NSE,2955,KALYANKJIL,KALYANKJIL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE303R01014,1.0,KALYAN JEWELLERS IND LTD
NSE,18096,JUBLFOOD,JUBLFOOD-EQ,EQ,1011980,5,1,EQ,0,2,1,INE797F01020,1.0,JUBILANT FOODWORKS LTD
NSE,11723,JSWSTEEL,JSWSTEEL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE019A01038,1.0,JSW STEEL LIMITED
NSE,17869,JSWENERGY,JSWENERGY-EQ,EQ,1011980,5,1,EQ,0,2,1,INE121E01018,1.0,JSW ENERGY LIMITED
NSE,18143,JIOFIN,JIOFIN-EQ,EQ,1011980,1,1,EQ,0,2,1,INE758E01017,1.0,JIO FIN SERVICES LTD
NSE,6733,JINDALSTEL,JINDALSTEL-EQ,EQ,1011980,10,1,EQ,0,2,1,INE749A01030,1.0,JINDAL STEEL LIMITED
